Distance_mm,Overlap_Real
-3.4618474277329367,0.0007025038689978247
-3.442008760525299,0.0009288445667688482
-3.42217009331766,0.0011491679655144889
-3.4023314261100217,0.0013671145325420471
-3.382492758902383,0.001583524361662254
-3.362654091694744,0.0017983199521173902
-3.3428154244871062,0.002011293070470989
-3.322976757279467,0.002222226666332237
-3.3031380900718283,0.002430904721727038
-3.28329942286419,0.002637112838891476
-3.263460755656551,0.0028406384066029804
-3.2436220884489124,0.003041270754313472
-3.223783421241274,0.003238801304753662
-3.2039447540336354,0.003433023725066794
-3.184106086825997,0.003623734076367303
-3.164267419618358,0.00381073096161944
-3.1444287524107195,0.003993815671732072
-3.124590085203081,0.004172792329767068
-3.104751417995442,0.004347468033160008
-3.084912750787804,0.004517652993853432
-3.065074083580165,0.004683160676244239
-3.0452354163725266,0.004843807932848326
-3.025396749164888,0.0049994151375873114
-3.0055580819572487,0.005149806316603617
-2.985719414749611,0.005294809276512177
-2.965880747541972,0.005434255729998588
-2.9460420803343337,0.005567981418675526
-2.926203413126695,0.005695826233111176
-2.906364745919056,0.005817634329945267
-2.8865260787114173,0.005933254246010507
-2.866687411503779,0.006042539009379226
-2.8468487442961403,0.006145346247257081
-2.827010077088502,0.006241538290648091
-2.8071714098808633,0.006330982275717412
-2.7873327426732244,0.006413550241780621
-2.767494075465586,0.00648911922585048
-2.7476554082579474,0.006557571353674827
-2.727816741050309,0.006618793927201454
-2.7079780738426704,0.00667267950840846
-2.6881394066350315,0.006719125999441095
-2.668300739427393,0.006758036718998662
-2.648462072219754,0.006789320474917632
-2.6286234050121156,0.006812891632899929
-2.608784737804477,0.006828670181337955
-2.5889460705968386,0.006836581792190516
-2.5691074033892,0.006836557877866772
-2.549268736181561,0.006828535644078147
-2.5294300689739226,0.006812458138620707
-2.509591401766284,0.006788274296053707
-2.4897527345586457,0.0067559389782425264
-2.4699140673510067,0.006715413010737294
-2.450075400143368,0.006666663214961548
-2.4302367329357293,0.006609662436187815
-2.410398065728091,0.00654438956728039
-2.3905593985204527,0.00647082956818829
-2.370720731312814,0.006388973481174218
-2.3508820641051753,0.006298818441768716
-2.3310433968975364,0.006200367685441555
-2.311204729689898,0.006093630549985041
-2.2913660624822594,0.005978622473607471
-2.271527395274621,0.005855364988737614
-2.251688728066982,0.005723885711544119
-2.2318500608593435,0.0055842183271769975
-2.212011393651705,0.005436402570741015
-2.192172726444066,0.005280484204013963
-2.172334059236428,0.0051165149879257256
-2.152495392028789,0.0049445526508171455
-2.1326567248211505,0.004764660852500399
-2.112818057613512,0.004576909144145686
-2.092979390405873,0.004381372924022005
-2.0731407231982346,0.004178133389122609
-2.053302055990596,0.0039672774827085935
-2.0334633887829576,0.003748897837806838
-2.013624721575319,0.0035230927167017798
-1.99378605436768,0.0032899659464627
-1.9739473871600415,0.003049626850551402
-1.954108719952403,0.002802190176557749
-1.9342700527447645,0.002547776020113286
-1.914431385537126,0.0022865097450358155
-1.894592718329487,0.0020185218997603293
-1.8747540511218486,0.0017439481301145053
-1.85491538391421,0.0014629290884995583
-1.8350767167065716,0.0011756103395393987
-1.8152380494989324,0.0008821422622638753
-1.795399382291294,0.0005826799488942051
-1.7755607150836554,0.0002773831003008979
-1.755722047876017,-3.358408179281955e-05
-1.7358833806683787,-0.00035005300578710275
-1.7160447134607395,-0.0006718508042838974
-1.696206046253101,-0.0009988004511881175
-1.6763673790454625,-0.0013307208817500329
-1.656528711837824,-0.0016674271154651949
-1.6366900446301849,-0.002008730381746211
-1.6168513774225464,-0.0023544382482790257
